msk.id,Valerate,Hexanoate,Isobutyrate,Isovalerate,2-Methylbutyrate,5-Aminovalerate,Glycine,Alanine,Proline,Valine,Threonine,Cysteine,Leucine,Isoleucine,Aspartate,Lysine,Glutamate,Methionine,Phenylalanine,Tryptophan,Tyramine,Benzoate,Phenylacetate,Palmitate
DFI.5.23,2.629339933,0.984527327,1.527952154,5.214658231,6.447713456,-0.739553267,0.521381644,0.492921049,0.939085435,0.594104784,-0.254543308,0.096422005,0.533243562,0.616445109,-1.012917201,0.147065458,0.071579677,0.207991183,0.384166556,-0.618282035,-0.08660204,0.254801299,6.215200057,0.435993008
DFI.6.54,2.531685073,0.916973813,1.262978241,5.051057493,6.191149945,0.561476407,0.16484497,0.297339059,0.652826068,-0.085774055,0.530514969,0.552632769,-0.31167924,-0.172792561,0.369247248,0.006697446,0.481819582,-0.12991298,-0.004236883,0.221136451,-0.573968498,0.245024332,6.343665192,0.405501477
DFI.3.86,0.171818479,0.05262601,0.33167964,3.28288207,4.293388311,-0.97088068,0.70725919,0.514081037,1.214051253,0.650676767,-0.482532211,0.128027687,0.578429791,0.670932987,-0.160560253,0.208332059,-0.126404706,0.299282794,0.489115508,-0.541317054,0.051328371,0.543289543,4.246757374,0.42371455
DFI.1.92,0.322553709,0.088079313,0.85217862,3.908362109,5.09620054,-0.708133167,0.706764463,0.413790571,0.979784622,0.584397787,-0.530806503,-0.012473886,0.490882821,0.532259166,-0.500071659,0.031588236,-0.304814941,0.205897739,0.3794188,-0.692819973,-0.016740651,0.324971654,5.165078804,0.523193417
DFI.4.73,0.330847085,0.589554704,2.17548107,5.774046931,6.588142926,0.141116446,0.863822431,0.697653079,1.372835866,0.648604857,0.622324469,0.807314492,0.433197229,0.600680729,0.258699628,1.049167525,0.93194249,1.080908821,0.570040319,0.730342319,-0.649050978,0.598462873,7.195174274,0.1118081
MSK.9.14,0.134396577,0.148065998,1.283912893,4.837206563,5.977642766,0.787893093,0.860949464,0.59693438,1.831040629,0.560993568,0.595405557,0.713049838,0.178725875,0.438801744,0.909300925,0.270077444,1.091931422,0.377627965,0.315257735,0.156113681,-0.7044459,0.444605663,6.080327329,0.247453933
MSK.16.37,-0.583247336,-0.344006339,0.319662111,1.94643882,2.898812362,-0.401199925,0.621034227,0.242828333,0.692274655,0.34074921,-0.023691781,0.051981967,0.166692289,0.261177892,0.522498375,0.06265535,0.183808838,0.160353061,0.157555999,0.216644759,-0.237508756,0.002671503,0.46829807,0.55961371
DFI.4.132,-0.342517862,-0.64778863,1.158780031,3.896779878,5.221772626,-0.268058162,0.641634835,0.557343879,0.860274663,0.712487992,-0.365377232,-0.228025544,0.652740639,0.668212675,-3.503740004,0.058348945,-0.29762409,0.147703654,0.519418184,-0.521729533,0.004114677,0.23048499,0.410341268,0.299211671
DFI.5.24,-0.342517862,-0.604911295,0.847024388,3.092186302,4.361861614,-0.604252585,0.383531504,0.397406768,0.428157533,0.45430894,-0.685346189,-0.295811288,0.43366043,0.382496586,-3.373675893,-0.296331603,-0.859381517,-0.204201468,0.281099017,-0.973495279,-0.079149229,0.295790688,0.507295695,0.384110886
DFI.7.53,-0.80050845,-0.73375576,1.314127319,4.295706748,5.750919091,-0.066667461,0.895306119,0.722432405,1.51883206,0.585629246,0.205995361,0.365290428,0.411429133,0.571639934,-2.059436138,0.127786164,0.288929748,0.049576632,0.863830127,0.194219209,-0.428697943,0.059243077,0.298396616,-0.124976353
